Gene Symbol,n_sgrnas,z_scored_avg_lfc,p_value,FDR
H2BC17,6,-0.7989185207808396,0.19850021907895204,0.4490544899857457
H2BC18,7,-1.8528988093530456,0.05240576632591804,0.18455009976819642
H2BC19P,2,-0.11828409992912005,0.4002098704331474,0.6542598783497636
H2BC21,6,0.3858144607214378,0.6309846990221621,0.8207826371865327
H2BC26,7,0.5304904874143649,0.6940772463639632,0.8543321849507243
H2BC27P,1,0.21250277674134962,0.5498788192361695,0.7654764472877857
H2BC3,6,0.24140912665441194,0.5636210405657469,0.7762259668781084
H2BC4,6,-0.2799377070604437,0.3393837097898713,0.6053791079075779
H2BC5,6,0.3600193550018036,0.6191987251875243,0.8146771687047537
H2BC6,6,-0.2918929193912618,0.3352832296103042,0.6009726466164335
H2BC7,6,-0.19161484546756713,0.3713668614050326,0.6332335553267141
H2BC8,6,1.4851402074439455,0.9580908342564148,0.9863903499379832
H2BC9,6,1.3723290367599545,0.9428115892985202,0.9790754789189562
H2BP1,7,-1.8528988093530456,0.05240576632591804,0.18455009976819642
H2BP2,6,-2.0881133492911053,0.03679672210239033,0.14211527430206883
H2BW1,6,-0.4375675612693632,0.2893262453741673,0.5555877653390022
H2BW2,6,1.4536272181895091,0.9542626009774333,0.9844674428625322
H3-3A,6,-1.1329632417124706,0.13463976992428045,0.3563527217106675
H3-3B,6,-0.5962174483063041,0.2462090869703896,0.5099916346080924
H3-4,6,0.9111371178044323,0.8322456485097915,0.9209577748037594
H3-5,6,-2.8335499148041356,0.010733587738049978,0.05313825011700444
H3-7,6,-0.6771725804133719,0.226294861766883,0.4857462097424686
H3C1,6,0.15285784982612632,0.521528194109186,0.7475519847063409
H3C10,6,-0.26280109381242805,0.34535498533255515,0.6112529621285409
H3C11,6,0.6751689369594459,0.7512639396411593,0.8831239681924519
H3C12,6,-0.6730234015634636,0.22728634004891404,0.4873451164572733
H3C13,6,-0.6771725804133719,0.226294861766883,0.4857462097424686
H3C14,7,-1.8835894039863512,0.0501495722136482,0.17941818453428915
H3C15,7,-1.8835894039863512,0.0501495722136482,0.17941818453428915
H3C3,6,0.22532525834849018,0.5559780938333797,0.7704785827381728
H3C6,6,-1.3991432035077724,0.09628037461494088,0.28391466928174336
H3C7,6,-0.24756133596635718,0.35075909356986723,0.6162764062326056
H3C8,6,-0.029180374154180018,0.43789476047331033,0.6849860813071104
H3P4,6,-0.6771725804133719,0.226294861766883,0.4857462097424686
H3P8,1,-0.16637008181423055,0.381063644796764,0.6377306132711023
H4C1,6,-2.3376295947638215,0.024516819076077563,0.10384181213041596
H4C11,10,-1.3329160445039516,0.10483675861441719,0.30114663670010566
H4C12,9,-1.496819793760855,0.08479640086253384,0.2605054049815415
H4C13,7,-1.5413739735921792,0.07998414649191275,0.24977357663785718
H4C14,6,-2.3359592987055886,0.024583903377794078,0.1040590452892149
H4C15,6,-2.3359592987055886,0.024583903377794078,0.1040590452892149
H4C16,6,1.1140887171593616,0.8899250141374393,0.9500128587694168
H4C2,6,2.340526394589865,0.9967833735863687,1.0
H4C3,6,-2.2059185492881,0.030430589015664145,0.12258073319082988
H4C4,6,0.6187009919764432,0.7296656506163491,0.8741621691528458
H4C5,6,0.17161050998577096,0.5304280532648307,0.7540533460417816
H4C6,6,0.2842512756323851,0.5838959432601161,0.7925635751252589
H4C7,6,-1.0268999367686311,0.15296197632782743,0.3870167120940793
H4C8,6,1.0251884078882856,0.8661658515183026,0.9378554256488487
H4C9,6,2.967513341259385,0.9994242186979784,1.0
H6PD,6,-4.216831469209777,0.0010556549424695846,0.007594797461968112
HAAO,6,0.7785727658232653,0.7885298777588619,0.902305365882021
HABP2,6,-0.51728153263272,0.2669020846624671,0.5336151643079755
HABP4,6,-6.265379251707535,6.708077619711453e-16,6.933668305353423e-15
HACD1,6,-2.2786082147914657,0.027009142858255557,0.1118335827168876
HACD2,6,-1.0003808913033208,0.15782472291358665,0.3947215893370302
HACD3,6,1.0707727851782092,0.878665907185127,0.9439728916803786
HACD4,5,-0.833373524971122,0.1910761897601822,0.4394654474393332
HACE1,6,-0.7165115634142605,0.2170426593337601,0.47428284790060826
HACL1,6,0.08457057374135155,0.4894122698605575,0.7239011811451007
HADH,6,-2.678946611982697,0.014106566719171524,0.06661602821290008
HADHA,6,-0.7318423696300677,0.21350814101871715,0.4696228593158494
HADHB,6,-1.6608975929902472,0.06826091673596925,0.22305563780637572
HAGH,6,-0.8859831669642615,0.18011191579131422,0.4268665310450913
HAGHL,5,-2.041703977456582,0.03957450457406753,0.15037703016675574
HAMP,6,-0.8230509482261168,0.19328019508986075,0.4419014918511011
HAND1,5,-0.005761666207019812,0.4482278436710243,0.6927549374043943
HAND2,6,-0.13787363131681735,0.3923042801466865,0.6483075080306853
HAO1,6,0.11726677636549501,0.5047168210655102,0.7359786419772506
HAO2,6,0.6019908790691345,0.7230983369030356,0.8706343628740523
HAP1,6,-0.02092480487263934,0.44151877971789916,0.6888666762338623
HAPLN1,6,0.7536626578527283,0.7798133573456227,0.8973356213012752
HAPLN2,6,0.8914295436668811,0.8260300595626557,0.9191391355873175
HAPLN3,6,1.160165942928105,0.9011953440413478,0.9555181042918963
HAPSTR1,6,-1.659793558311417,0.06836193943419758,0.22334881948058305
HAPSTR2,6,-2.951455721239098,0.008563510581940962,0.04402722675101437
HARBI1,6,-0.6576131373434799,0.2309954726506627,0.49193572478394904
HARS1,6,-11.187426860164177,2.4821315572852906e-164,8.806887965283519e-163
HARS2,6,-8.686228441847838,2.1636200704300873e-67,3.388242745793171e-66
HAS1,6,-0.006547295558502414,0.4478785994157968,0.6924781106810567
HAS2,6,1.4801865788932047,0.9575103540074111,0.9861825216074245
HASPIN,6,-0.8179144082723606,0.19438335184106104,0.4435001365082994
HAT1,6,-1.9587891212772293,0.044905232168982886,0.16504781539066557
HAUS1,6,-13.535169510387462,7.068491231626998e-296,2.0543322383918287e-293
HAUS1P2,1,-0.8311587970099636,0.19154760735932885,0.4394654474393332
HAUS2,6,-9.555716263301216,4.855152432425286e-96,9.306729148595628e-95
HAUS3,6,-12.19302808823647,7.251286954036101e-216,4.825157712882676e-214
HAUS4,6,-9.517249776859726,1.1678297225280168e-94,2.214953820184376e-93
HAUS5,6,-11.486666575050414,6.497449343310542e-179,2.6863826646829757e-177
HAUS6,6,-5.84431213919493,3.6576084226535624e-11,3.5433978067108997e-10
HAUS7,6,-12.480081590757523,6.720031707872157e-232,5.824911694854274e-230
HAUS8,6,-7.944614196832987,3.333402411598046e-47,4.537054535841059e-46
HAVCR1,6,1.0463709592494816,0.872054709646997,0.9407399789735711
